id,nom,website,user_id,siteweb_V2,siteweb_V3
64,GRIMMUSEUM,www.grimmuseum.com,1,https://www.grimmuseum.com,https://www.grimmuseum.com
65,Bootlab,www.bootlab.org,1,https://www.bootlab.org,https://www.bootlab.org
66,YARAT Contemporary Art Space,www.yarat.az/,,https://www.yarat.az/,https://www.yarat.az/
67,Ateliê Coletivo 2E1,http://doiseum.com/,,https://http://doiseum.com/,https://http://doiseum.com/
68,Ed Video,www.edvideo.org,1,https://www.edvideo.org,https://www.edvideo.org
69,rum46,http://www.rum46.dk,1,https://http://www.rum46.dk,https://http://www.rum46.dk
70,40mcube,www.40mcube.org,1,https://www.40mcube.org,https://www.40mcube.org
71,La loge,www.la-loge.be,,https://www.la-loge.be,https://www.la-loge.be
72,The ister,www.theister.be,,https://www.theister.be,https://www.theister.be
73,Komplot,www.kmplt.be,,https://www.kmplt.be,https://www.kmplt.be
74,Abilene,https://www.yelp.com/biz/abilene-gallery-saint-gilles?hrid=aYqFJhPIaG_VdHWqMByZDQ,,https://www.yelp.com/biz/abilene-gallery-saint-gilles?hrid=aYqFJhPIaG_VdHWqMByZDQ,https://www.yelp.com/biz/abilene-gallery-saint-gilles?hrid=aYqFJhPIaG_VdHWqMByZDQ
75,Etablissement d'en face,www.etablissementdenfaceprojects.org,,https://www.etablissementdenfaceprojects.org,https://www.etablissementdenfaceprojects.org
76,Artists Club Coffre-Fort,www.artistsclubcoffrefort.com,,https://www.artistsclubcoffrefort.com,https://www.artistsclubcoffrefort.com
77,Island,www.islandisland.be,,https://www.islandisland.be,https://www.islandisland.be
78,Theophile's Papers,https://www.cnap.fr/theophiles-papers,,https://www.cnap.fr/theophiles-papers,https://www.cnap.fr/theophiles-papers
79,Rosa Brux,www.rosabrux.org,,https://www.rosabrux.org,https://www.rosabrux.org
80,Rectangle,www.rectangle.be,1,https://www.rectangle.be,https://www.rectangle.be
81,HEKLA,http://www.findglocal.com/BE/Brussels/349740325172012/HEKLA,1,https://http://www.findglocal.com/BE/Brussels/349740325172012/HEKLA,https://http://www.findglocal.com/BE/Brussels/349740325172012/HEKLA
82,HECTOLITER,www.hectoliter.be,,https://www.hectoliter.be,https://www.hectoliter.be
83,Greylight Projects,greylightprojects.org,3,https://greylightprojects.org,https://greylightprojects.org
84,DEHORS Contemporary Art Window,https://www.glartent.com/BE/Brussels/1383012541943341/Dehors---Contemporary-Art-Window,,https://www.glartent.com/BE/Brussels/1383012541943341/Dehors---Contemporary-Art-Window,https://www.glartent.com/BE/Brussels/1383012541943341/Dehors---Contemporary-Art-Window
85,De La Charge,https://fr.yelp.be/biz/de-la-charge-saint-gilles,,https://fr.yelp.be/biz/de-la-charge-saint-gilles,https://fr.yelp.be/biz/de-la-charge-saint-gilles
86,c-o-m-p-o-s-i-t-e,www.c-o-m-p-o-s-i-t-e.com,,https://www.c-o-m-p-o-s-i-t-e.com,https://www.c-o-m-p-o-s-i-t-e.com
87,Lieu d'exposition en voie de déplacement (LEVD),levd.net,1,https://levd.net,https://levd.net
88,mezcla,https://www.gralon.net/evenements/76/programme-espace-mezcla-45532.htm,1,https://www.gralon.net/evenements/76/programme-espace-mezcla-45532.htm,https://www.gralon.net/evenements/76/programme-espace-mezcla-45532.htm
89,La Maudite,www.lamaudite.net,1,https://www.lamaudite.net,https://www.lamaudite.net
90,BLINDSIDE,http://www.blindside.org.au/,1,https://http://www.blindside.org.au/,https://http://www.blindside.org.au/
91,KINGS Artist Run,www.kingsartistrun.com.au,1,https://www.kingsartistrun.com.au,https://www.kingsartistrun.com.au
92,GERTRUDE CONTEMPORARY,www.gertrude.org.au,1,https://www.gertrude.org.au,https://www.gertrude.org.au
93,TCB,tcbartinc.org.au,1,https://tcbartinc.org.au,https://tcbartinc.org.au
94,West Space,westspace.org.au,1,https://westspace.org.au,https://westspace.org.au
95,CONICAL,www.conical.org.au,1,https://www.conical.org.au,https://www.conical.org.au
96,Bell Street Project Space,www.bellstreet.net,1,https://www.bellstreet.net,https://www.bellstreet.net
97,periscope,www.periscope.at,1,https://www.periscope.at,https://www.periscope.at
98,Duplex100m2,www.duplex100m2.com,1,https://www.duplex100m2.com,https://www.duplex100m2.com
99,Art Metropole,artmetropole.com,1,https://artmetropole.com,https://artmetropole.com
100,Artspeak,artspeak.ca,1,https://artspeak.ca,https://artspeak.ca
101,Open Space,www.openspace.ca,1,https://www.openspace.ca,https://www.openspace.ca
102,Para Site,www.para-site.org.hk,1,https://www.para-site.org.hk,https://www.para-site.org.hk
103,La Cédille qui sourit.,https://www.universalis.fr/encyclopedie/robert-filliou/2-la-cedille-qui-sourit-et-la-fete-permanente/,1,https://www.universalis.fr/encyclopedie/robert-filliou/2-la-cedille-qui-sourit-et-la-fete-permanente/,https://www.universalis.fr/encyclopedie/robert-filliou/2-la-cedille-qui-sourit-et-la-fete-permanente/
104,The Artists Village (TAV),http://www.tav.org.sg/,1,https://http://www.tav.org.sg/,https://http://www.tav.org.sg/
105,ARTos,www.artosfoundation.org,1,https://www.artosfoundation.org,https://www.artosfoundation.org
106,Live Club Ssam (SSamzie Space),www.ssamziespace.com,1,https://www.ssamziespace.com,https://www.ssamziespace.com
107,LOOP,galleryloop.com,1,https://galleryloop.com,https://galleryloop.com
108,POOL,www.altpool.org,1,https://www.altpool.org,https://www.altpool.org
109,Brain Factory,,1,,rien
110,artellewa,https://www.artistcommunities.org/residencies/artellewa-art-space,1,https://www.artistcommunities.org/residencies/artellewa-art-space,https://www.artistcommunities.org/residencies/artellewa-art-space
111,Transmission,www.transmissiongallery.org,1,https://www.transmissiongallery.org,https://www.transmissiongallery.org
112,Collective,www.collectivegallery.net,1,https://www.collectivegallery.net,https://www.collectivegallery.net
113,G39,www.g39.org,1,https://www.g39.org,https://www.g39.org
114,Alexandria Contemporary Arts Forum (ACAF) ,www.acafspace.org,1,https://www.acafspace.org,https://www.acafspace.org
115,Gasworks,www.gasworks.org.uk,1,https://www.gasworks.org.uk,https://www.gasworks.org.uk
116,Studio Voltaire,www.studiovoltaire.org,1,https://www.studiovoltaire.org,https://www.studiovoltaire.org
117,White Columns,www.whitecolumns.org,1,https://www.whitecolumns.org,https://www.whitecolumns.org
118,La Confection Idéale,www.laconfectionideale.fr,4,https://www.laconfectionideale.fr,https://www.laconfectionideale.fr
119,ruimte Caesuur,caesuur.nu,1,https://caesuur.nu,https://caesuur.nu
120,SEA Foundation,www.seafoundation.eu,1,https://www.seafoundation.eu,https://www.seafoundation.eu
121,L'impasse,espace.impasse.free.fr/,1,https://espace.impasse.free.fr/,https://espace.impasse.free.fr/
122,Fer de Lance,,1,,rien
123,Espace Labo,espacelabo.net,1,https://espacelabo.net,https://espacelabo.net
124,Diagonale,artdiagonale.org,5,https://artdiagonale.org,https://artdiagonale.org
125,Le Hall,https://rouen.fr/associations/le_hall,1,https://rouen.fr/associations/le_hall,https://rouen.fr/associations/le_hall
158,ChezKit,www.chezkit.fr,1,https://www.chezkit.fr,https://www.chezkit.fr
159,MAISON DE L'IMAGE,www.maisonimage.tn ,1,https://www.maisonimage.tn ,https://www.maisonimage.tn 
160,MILLE FEUILLES,www.librairiemillefeuilles.comhttps://www.aicjt-leborgel.org/La-Librairie-Espace-d-Art-Mille-Feuilles-99-Avenue-Habib-Bourguiba-02070-Marsa-Plage-L-Association-Internationale-des_a117.html,1,https://www.librairiemillefeuilles.comhttps://www.aicjt-leborgel.org/La-Librairie-Espace-d-Art-Mille-Feuilles-99-Avenue-Habib-Bourguiba-02070-Marsa-Plage-L-Association-Internationale-des_a117.html,https://www.librairiemillefeuilles.comhttps://www.aicjt-leborgel.org/La-Librairie-Espace-d-Art-Mille-Feuilles-99-Avenue-Habib-Bourguiba-02070-Marsa-Plage-L-Association-Internationale-des_a117.html
161,B'Chira Art Center,https://www.ecoles.com.tn/culture/bchira-art-center,1,https://www.ecoles.com.tn/culture/bchira-art-center,https://www.ecoles.com.tn/culture/bchira-art-center
162,L'H du Siège,www.hdusiege.org,1,https://www.hdusiege.org,https://www.hdusiege.org
163,l'Œil de Poisson,www.oeildepoisson.com,1,https://www.oeildepoisson.com,https://www.oeildepoisson.com
164,W,www.w-pantin.xyz,1,https://www.w-pantin.xyz,https://www.w-pantin.xyz
165,La GAD MARSEILLE,lagad.eu,1,https://lagad.eu,https://lagad.eu
166,La Couleuvre,lacouleuvre.blogspot.fr/,1,https://lacouleuvre.blogspot.fr/,https://lacouleuvre.blogspot.fr/
167,Deborah Bowmann,deborahbowmann.com,1,https://deborahbowmann.com,https://deborahbowmann.com
168,ECHANGEUR22,echangeur22.com,1,https://echangeur22.com,https://echangeur22.com
169,L’Assaut de la menuiserie,www.lassautdelamenuiserie.com,1,https://www.lassautdelamenuiserie.com,https://www.lassautdelamenuiserie.com
170,Quellkollektiv,quellkollektiv.net,1,https://quellkollektiv.net,https://quellkollektiv.net
171,Borgo Ensemble,borgo-ensemble.de,1,https://borgo-ensemble.de,https://borgo-ensemble.de
172,EDEL EXTRA,edelextra.biz,1,https://edelextra.biz,https://edelextra.biz
173,Gängeviertel ,http://das-gaengeviertel.info/,1,https://http://das-gaengeviertel.info/,https://http://das-gaengeviertel.info/
174,HIT,espace-hit.ch,1,https://espace-hit.ch,https://espace-hit.ch
175,One gee in fog,www.onegeeinfog.com,1,https://www.onegeeinfog.com,https://www.onegeeinfog.com
176,ZABRISKIE POINT,www.zabriskiepoint.ch,1,https://www.zabriskiepoint.ch,https://www.zabriskiepoint.ch
178,"Printed Matter, Inc.",www.printedmatter.org,1,https://www.printedmatter.org,https://www.printedmatter.org
179,Artpool,www.artpool.hu,1,https://www.artpool.hu,https://www.artpool.hu
180,Ecart,https://www.mamco.ch/fr/1212/ECART,1,https://www.mamco.ch/fr/1212/ECART,https://www.mamco.ch/fr/1212/ECART
181,Franklin Furnace,franklinfurnace.org,1,https://franklinfurnace.org,https://franklinfurnace.org
182,La Mamelle/Art Com,https://www.monographbookwerks.com/pages/books/692/la-mamelle-archives-of-contemporary-art,1,https://www.monographbookwerks.com/pages/books/692/la-mamelle-archives-of-contemporary-art,https://www.monographbookwerks.com/pages/books/692/la-mamelle-archives-of-contemporary-art
183,MOCA / Museum of Conceptual Art,https://www.moca.org/collection/work/san-francisco,1,https://www.moca.org/collection/work/san-francisco,https://www.moca.org/collection/work/san-francisco
184,Western Front,front.bc.ca,1,https://front.bc.ca,https://front.bc.ca
